Participant,Condition,Block,Task,Trial,Target.x,Target.y,Targetsize.b,Targetsize.l,Target Area,MousePositions.x,MousePositions.y,Error.x,Error.y,Euclidean_distance_error,,Error_count,Target_count,Target Area_sort,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,1,923,311,23,100,2300,71,55,0,0,0,,0,1,900,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,2,799,16,92,116,10672,90,81,0,0,0,,0,1,961,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,3,74,10,42,120,5040,30,50,0,0,0,,0,1,1050,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,4,364,195,85,35,2975,60,231,0,0,0,,0,1,1080,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,5,65,281,89,86,7654,29,11,70,54,59.41380311,,1,1,1120,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,6,441,155,62,34,2108,24,71,0,0,0,,0,1,1155,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,7,790,159,127,47,5969,562,338,0,,0,,0,1,1184,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,8,753,98,59,34,2006,33,26,0,0,0,,0,1,1216,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,9,531,23,127,49,6223,41,10,0,0,0,,0,1,1221,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,10,79,126,130,78,10140,127,364,23,48,332.6740146,,1,1,1225,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,11,87,6,32,106,3392,22,79,0,0,0,,0,1,1386,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,12,678,241,51,129,6579,172,363,23,70,328.7095983,,1,1,1410,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,13,162,113,62,87,5394,148,347,17,23,349.4810438,,1,1,1440,,,,,,,,,,,,,,
1,Smart Trackpad,2D Task,2D Target Selection Task,14,743,5,104,120,12480,50,96,0,0,0,,0,1,1440,,,,,,,,,,,,,,
1,Smart Rotate Pointer,2D Task,2D Target Selection Task,1,147,165,38,66,2508,17,57,0,0,0,,0,1,1440,,,,,,,,,,,,,,
1,Smart Rotate Pointer,2D Task,2D Target Selection Task,2,84,83,78,45,3510,18,25,0,0,0,,0,1,1444,,,,,,,,,,,,,,
1,Smart Rotate Pointer,2D Task,2D Target Selection Task,3,254,290,30,36,1080,82,4,0,0,0,,0,1,1452,,,,,,,,,,,,,,
1,Smart Rotate Pointer,2D Task,2D Target Selection Task,4,274,182,86,31,2666,70,2,0,0,0,,1,1,1470,,,,,,,,,,,,,,
1,Smart Rotate Pointer,2D Task,2D Target Selection Task,5,76,229,91,35,3185,2,7,0,0,0,,1,1,1470,,,,,,,,,,,,,,
1,Smart Tilt Pointer,2D Task,2D Target Selection Task,1,112,340,41,47,1927,14,44,0,0,0,,1,1,1504,,,,,,,,,,,,,,
1,Smart Tilt Pointer,2D Task,2D Target Selection Task,2,569,80,86,40,3440,50,33,0,0,0,,1,1,1504,,,,,,,,,,,,,,
1,Smart Tilt Pointer,2D Task,2D Target Selection Task,3,90,58,106,116,12296,59,85,0,0,0,,1,1,1517,,,,,,,,,,,,,,
