Participant,Condition,Block,Task,Trial,EulerA_Initial.tx,EulerA_Initial.ty,EulerA_Initial.tz,EulerA1.tx,EulerA1.ty,EulerA1.tz,EulerA3.tx,EulerA3.ty,EulerA3.tz,Cube1AngleofRot,Cube3AngleofRot,Start Time,End Time,Difftime,timems,Epos.tx,Epos.ty,Epos.tz,E3pos.tx,E3pos.ty,E3pos.tz,Cube1AngleofRot_original,Cube3AngleofRot_original
1,Smart Trackpad,3D Task,3D Cube Rotation,1,0,0,0,-154.3752107,-0.266110637,-174.7729534,174.297549,-7.751643718,-160.8186494,3.125892781,2.99178138,15:38:18,15:39:05,0:00:47,47000,514.3752107,360.2661106,534.7729534,174.297549,367.7516437,520.8186494,3.125892781,2.99178138
1,Smart Trackpad,3D Task,3D Cube Rotation,2,0,0,0,78.75591792,-51.24802932,-124.6234471,5.364056142,0.736344338,21.30075447,1.936361413,0.38287217,15:39:10,15:40:13,0:01:03,63000,78.75591792,411.2480293,484.6234471,5.364056142,0.736344338,21.30075447,1.936361413,0.38287217
1,Smart Rotate Pointer,3D Task,3D Model Rotation,1,0,0,0,14.14081028,-77.68278377,-16.39843676,145.4429383,-64.40492826,-165.8098501,1.364770726,2.010185698,16:10:59,16:12:29,0:01:30,90000,14.14081028,437.6827838,376.3984368,145.4429383,424.4049283,525.8098501,1.364770726,2.010185698
1,Smart Rotate Pointer,3D Task,3D Model Rotation,2,0,0,0,-172.5790174,-1.548496933,-156.2022324,174.7843341,14.34935197,164.7957255,3.141297951,2.881578984,16:12:30,16:13:21,0:00:51,51000,532.5790174,361.5484969,516.2022324,174.7843341,14.34935197,164.7957255,3.141297951,2.881578984
1,Smart Tilt Pointer,3D Task,3D Model Rotation,1,0,0,0,64.52724666,26.62408639,-90.81217757,95.1994694,8.675824378,-72.56284931,2.116957002,2.073636188,17:34:56,17:36:02,0:01:06,66000,64.52724666,26.62408639,450.8121776,95.1994694,8.675824378,432.5628493,2.116957002,2.073636188
1,Smart Tilt Pointer,3D Task,3D Model Rotation,2,0,0,0,135.415302,-24.91868585,-46.11125515,-168.6110775,-2.029585477,-52.40255624,2.276926506,2.978947138,17:36:02,17:37:15,0:01:13,73000,135.415302,384.9186859,406.1112552,528.6110775,362.0295855,412.4025562,2.276926506,2.978947138
1,Smart Trackball,3D Task,3D Model Rotation,1,0,0,0,90.27589271,84.40210753,89.72410729,173.2791709,33.54076665,175.7215643,1.573203966,0.553274779,18:03:44,18:04:38,0:00:54,54000,90.27589271,84.40210753,89.72410729,173.2791709,33.54076665,175.7215643,1.573203966,2.553274779
1,Smart Trackball,3D Task,3D Model Rotation,2,0,0,0,69.17291654,-21.51899944,101.9296235,68.27755905,-2.474592108,71.27955926,1.25910804,1.685439217,18:04:43,18:05:26,0:00:43,43000,69.17291654,381.5189994,101.9296235,68.27755905,362.4745921,71.27955926,2.25910804,1.685439217
2,Smart Trackball,3D Task,3D Cube Rotation,1,0,0,0,37.67975433,-3.073729841,35.5630721,18.63223975,-1.446247129,-172.3928828,0.910082597,1.00650148,14:08:53,14:09:42,0:00:49,49000,37.67975433,363.0737298,35.5630721,18.63223975,361.4462471,532.3928828,0.910082597,3.00650148
2,Smart Trackball,3D Task,3D Cube Rotation,2,0,0,0,29.19040796,-70.00961677,63.18824215,97.57020741,-65.9480456,-114.9732108,1.855960401,1.746478726,14:09:47,14:11:11,0:01:24,84000,29.19040796,430.0096168,63.18824215,97.57020741,425.9480456,474.9732108,1.855960401,1.746478726
2,Smart Trackpad,3D Task,3D Cube Rotation,1,0,0,0,65.28755378,0.014066881,-135.1265588,109.1837692,10.53967777,41.85098054,0.487358414,1.939194768,14:27:16,14:28:46,0:01:30,90000,65.28755378,0.014066881,495.1265588,109.1837692,10.53967777,41.85098054,2.487358414,1.939194768
2,Smart Trackpad,3D Task,3D Cube Rotation,2,0,0,0,-5.274692609,32.15095545,-53.83020652,-22.26398285,31.75659581,-160.8771749,1.064483008,2.720794797,14:28:49,14:29:43,0:00:54,54000,365.2746926,32.15095545,413.8302065,382.2639829,31.75659581,520.8771749,1.064483008,2.720794797
2,Smart Tilt Pointer,3D Task,3D Cube Rotation,1,0,0,0,-179.9722931,-11.27691093,179.4441249,173.9454276,22.35997706,177.1362268,2.944773412,2.749372758,14:44:38,14:45:17,0:00:39,39000,539.9722931,371.2769109,179.4441249,173.9454276,22.35997706,177.1362268,2.944773412,2.749372758
2,Smart Tilt Pointer,3D Task,3D Cube Rotation,2,0,0,0,179.0478189,-46.00484669,110.2397043,179.0008873,-50.79171104,177.5749768,2.498185381,2.255727696,14:45:20,14:46:03,0:00:43,43000,179.0478189,406.0048467,110.2397043,179.0008873,410.791711,177.5749768,2.498185381,2.255727696
2,Smart Rotate Pointer,3D Task,3D Cube Rotation,1,0,0,0,-12.16577158,-68.93285163,-22.17166396,-5.598798438,-75.27509119,-163.3533291,1.310198231,2.971414879,15:52:22,15:52:49,0:00:27,27000,372.1657716,428.9328516,382.171664,365.5987984,435.2750912,523.3533291,1.310198231,2.971414879
2,Smart Rotate Pointer,3D Task,3D Cube Rotation,2,0,0,0,-103.5331414,-22.67185221,115.5836076,-101.2703869,-4.995998025,30.43456008,2.198963223,1.803393184,15:52:50,15:53:14,0:00:24,24000,463.5331414,382.6718522,115.5836076,461.2703869,364.995998,30.43456008,2.198963223,1.803393184
3,Smart Tilt Pointer,3D Task,3D Cube Rotation,1,0,0,0,-167.0415489,0.187533565,-170.3691961,112.875932,-72.4804851,-109.5892338,3.119406168,1.701093755,20:39:51,20:41:28,0:01:37,97000,527.0415489,0.187533565,530.3691961,112.875932,432.4804851,469.5892338,3.119406168,1.701093755
3,Smart Tilt Pointer,3D Task,3D Cube Rotation,2,0,0,0,-6.173974815,-45.45766884,-54.91731768,177.9549616,88.49677478,48.47720363,1.261266805,2.536249597,20:41:28,20:42:09,0:00:41,41000,366.1739748,405.4576688,414.9173177,177.9549616,88.49677478,48.47720363,1.261266805,2.536249597
3,Smart Trackball,3D Task,3D Cube Rotation,1,0,0,0,98.6507238,33.96396729,-49.28654101,-162.1502158,-1.800014896,-152.0574181,1.153467233,0.096802127,20:53:07,20:53:47,0:00:40,40000,98.6507238,33.96396729,409.286541,522.1502158,361.8000149,512.0574181,2.153467233,3.096802127
3,Smart Trackball,3D Task,3D Cube Rotation,2,0,0,0,-139.223491,10.55095089,72.66825373,-0.834304348,-14.7579872,178.7617321,1.680737348,0.118290224,20:53:56,20:54:21,0:00:25,25000,499.223491,10.55095089,72.66825373,360.8343043,374.7579872,178.7617321,2.680737348,3.118290224
