Participant,Condition,Block,Task,Trial,EulerA_Initial.tx,EulerA_Initial.ty,EulerA_Initial.tz,EulerA1.tx,EulerA1.ty,EulerA1.tz,Cube1AngleofRot,Start Time,End Time,Difftime,timems
1,Smart Trackpad,3D Task,3D Cube Rotation,1,0,0,0,-154.3752107,-0.266110637,-174.7729534,3.125892781,15:38:18,15:39:05,0:00:47,47000
1,Smart Trackpad,3D Task,3D Cube Rotation,2,0,0,0,78.75591792,-51.24802932,-124.6234471,1.936361413,15:39:10,15:40:13,0:01:03,63000
1,Smart Rotate Pointer,3D Task,3D Model Rotation,1,0,0,0,14.14081028,-77.68278377,-16.39843676,1.364770726,16:10:59,16:12:29,0:01:30,90000
1,Smart Rotate Pointer,3D Task,3D Model Rotation,2,0,0,0,-172.5790174,-1.548496933,-156.2022324,3.141297951,16:12:30,16:13:21,0:00:51,51000
1,Smart Tilt Pointer,3D Task,3D Model Rotation,1,0,0,0,64.52724666,26.62408639,-90.81217757,2.116957002,17:34:56,17:36:02,0:01:06,66000
1,Smart Tilt Pointer,3D Task,3D Model Rotation,2,0,0,0,135.415302,-24.91868585,-46.11125515,2.276926506,17:36:02,17:37:15,0:01:13,73000
1,Smart Trackball,3D Task,3D Model Rotation,1,0,0,0,90.27589271,84.40210753,89.72410729,1.573203966,18:03:44,18:04:38,0:00:54,54000
1,Smart Trackball,3D Task,3D Model Rotation,2,0,0,0,69.17291654,-21.51899944,101.9296235,1.25910804,18:04:43,18:05:26,0:00:43,43000
1,Smart Trackpad,3D Task,3D Cube Rotation,1,0,0,0,174.297549,-7.751643718,-160.8186494,2.99178138,15:38:18,15:39:05,0:00:47,47000
1,Smart Trackpad,3D Task,3D Cube Rotation,2,0,0,0,5.364056142,0.736344338,21.30075447,0.38287217,15:39:10,15:40:13,0:01:03,63000
1,Smart Rotate Pointer,3D Task,3D Model Rotation,1,0,0,0,145.4429383,-64.40492826,-165.8098501,2.010185698,16:10:59,16:12:29,0:01:30,90000
1,Smart Rotate Pointer,3D Task,3D Model Rotation,2,0,0,0,174.7843341,14.34935197,164.7957255,2.881578984,16:12:30,16:13:21,0:00:51,51000
1,Smart Tilt Pointer,3D Task,3D Model Rotation,1,0,0,0,95.1994694,8.675824378,-72.56284931,2.073636188,17:34:56,17:36:02,0:01:06,66000
1,Smart Tilt Pointer,3D Task,3D Model Rotation,2,0,0,0,-168.6110775,-2.029585477,-52.40255624,2.978947138,17:36:02,17:37:15,0:01:13,73000
1,Smart Trackball,3D Task,3D Model Rotation,1,0,0,0,173.2791709,33.54076665,175.7215643,0.553274779,18:03:44,18:04:38,0:00:54,54000
1,Smart Trackball,3D Task,3D Model Rotation,2,0,0,0,68.27755905,-2.474592108,71.27955926,1.685439217,18:04:43,18:05:26,0:00:43,43000
2,Smart Trackball,3D Task,3D Cube Rotation,1,0,0,0,18.63223975,-1.446247129,-172.3928828,1.00650148,14:08:53,14:09:42,0:00:49,49000
