Participant,Condition,Block,Task,Trial,template.tx,final.tx,template.ty,final.ty,Start Time,End Time,timems,txdiff,tydiff,Euclidean_distance_error
1,Smart Trackpad,3D Task,3D Model Rotation,1,-12.28,-10.54,8.86,8.7,15:40:29,15:41:14,45000,1.74,-0.16,1.747340837
1,Smart Trackpad,3D Task,3D Model Rotation,2,-7.74,-7.85,4.19,4.3,15:42:05,15:42:48,43000,-0.11,0.11,0.155563492
1,Smart Rotate Pointer,3D Task,3D Model Rotation,1,-4.62,-4.6,9.83,9.65,16:13:47,16:14:30,43000,0.02,-0.18,0.181107703
1,Smart Rotate Pointer,3D Task,3D Model Rotation,2,1.72,2.02,0.67,0.68,16:14:36,16:15:01,25000,0.3,0.01,0.30016662
1,Smart Tilt Pointer,3D Task,3D Model Rotation,1,0.74,0.8,6,2.74,17:37:27,17:37:58,31000,0.06,-3.26,3.2605521
1,Smart Tilt Pointer,3D Task,3D Model Rotation,2,-10.05,-10.75,6.23,6.2,15:40:40,15:41:20,40000,-0.7,-0.03,0.700642562
1,Smart Trackball,3D Task,3D Model Rotation,1,0.94,1.02,4.13,4,18:05:35,18:06:16,41000,0.08,-0.13,0.152643375
1,Smart Trackball,3D Task,3D Model Rotation,2,-7.46,-7.7,5.52,5.5,18:06:22,18:07:04,32000,-0.24,-0.02,0.240831892
1,Smart Trackpad,3D Task,3D Model Rotation,1,12.28,7.45,8.86,3.49,15:40:29,15:41:14,45000,-4.83,-5.37,7.222589563
1,Smart Trackpad,3D Task,3D Model Rotation,2,7.74,7.76,-4.19,-4.24,15:42:05,15:42:48,43000,0.02,-0.05,0.053851648
1,Smart Rotate Pointer,3D Task,3D Model Rotation,1,4.62,4.66,-9.83,-9.44,16:13:47,16:14:30,43000,0.04,0.39,0.392045916
1,Smart Rotate Pointer,3D Task,3D Model Rotation,2,-1.72,-1.85,-0.67,-0.45,16:14:36,16:15:01,25000,-0.13,0.22,0.255538647
1,Smart Tilt Pointer,3D Task,3D Model Rotation,1,-0.74,-1.4,-6,-6.95,17:37:27,17:37:58,31000,-0.66,-0.95,1.156762724
1,Smart Tilt Pointer,3D Task,3D Model Rotation,2,10.05,10.06,-6.23,-6.28,15:40:40,15:41:20,40000,0.01,-0.05,0.050990195
1,Smart Trackball,3D Task,3D Model Rotation,1,-0.94,-0.9,-4.13,-4.05,18:05:35,18:06:16,41000,0.04,0.08,0.089442719
1,Smart Trackball,3D Task,3D Model Rotation,2,7.46,3.66,-5.52,-0.84,18:06:22,18:07:04,32000,-3.8,4.68,3.028465808
2,Smart Trackball,3D Task,3D Cube Translation,1,-10.07,-10.5,3.21,3.4,14:12:28,14:13:13,35000,-0.43,0.19,0.470106371
2,Smart Trackball,3D Task,3D Cube Translation,2,-8.04,-7.95,2.35,2.25,14:13:37,14:14:01,24000,0.09,-0.1,0.13453624
2,Smart Trackpad,3D Task,3D Cube Translation,1,-8.29,-7.8,2.6,2.35,14:29:51,14:30:32,41000,0.49,-0.25,0.550090902
2,Smart Trackpad,3D Task,3D Cube Translation,2,-8.5,-6.9,3.32,3.75,14:31:28,14:32:03,35000,1.6,0.43,1.656773974
2,Smart Tilt Pointer,3D Task,3D Cube Translation,1,-12.88,-10.7,-1.68,-0.9,14:46:10,14:46:52,42000,2.18,0.78,2.315340148
2,Smart Tilt Pointer,3D Task,3D Cube Translation,2,0.34,0.2,7.08,7.85,14:46:57,14:47:28,31000,-0.14,0.77,0.782623792
