Participant,Condition,Block,Task,Trial,Target.x,Target.y,Targetsize.b,Targetsize.l,Target Area,MousePositions.x,MousePositions.y,Error.x,Error.y,Euclidean_distance_error,,Error_count,Target_count,Target Area
1,Smart Trackpad,2D Task,2D Target Selection Task,2,799,16,92,116,10672,90,81,0,0,0,,0,1,961
1,Smart Trackpad,2D Task,2D Target Selection Task,5,65,281,89,86,7654,29,11,70,54,59.41380311,,1,1,1120
1,Smart Trackpad,2D Task,2D Target Selection Task,10,79,126,130,78,10140,127,364,23,48,332.6740146,,1,1,1225
1,Smart Trackpad,2D Task,2D Target Selection Task,12,678,241,51,129,6579,172,363,23,70,328.7095983,,1,1,1410
1,Smart Trackpad,2D Task,2D Target Selection Task,14,743,5,104,120,12480,50,96,0,0,0,,0,1,1440
1,Smart Tilt Pointer,2D Task,2D Target Selection Task,3,90,58,106,116,12296,59,85,0,0,0,,1,1,1517
1,Smart Tilt Pointer,2D Task,2D Target Selection Task,4,661,219,91,128,11648,64,49,0,0,0,,1,1,1519
1,Smart Tilt Pointer,2D Task,2D Target Selection Task,8,606,209,129,57,7353,167,4,0,0,0,,0,1,1581
1,Smart Trackball,2D Task,2D Target Selection Task,2,303,179,69,105,7245,32,25,0,0,0,,0,1,1620
1,Smart Trackball,2D Task,2D Target Selection Task,4,200,154,93,89,8277,70,91,0,0,0,,0,1,1664
1,Smart Trackball,2D Task,2D Target Selection Task,7,326,232,76,126,9576,24,48,0,0,0,,0,1,1705
1,Smart Trackball,2D Task,2D Target Selection Task,8,317,29,123,116,14268,60,50,0,0,0,,0,1,1716
1,Smart Trackball,2D Task,2D Target Selection Task,9,78,221,84,83,6972,43,68,0,0,0,,0,1,1740
1,Smart Trackball,2D Task,2D Target Selection Task,10,193,307,86,77,6622,51,35,0,0,0,,0,1,1804
1,Smart Trackball,2D Task,2D Target Selection Task,11,586,114,76,89,6764,58,53,0,0,0,,0,1,1804
1,Smart Trackball,2D Task,2D Target Selection Task,14,66,312,129,50,6450,26,10,0,0,0,,0,1,1860
1,Smart Rotate Pointer,2D Task,2D Target Selection Task,4,274,182,86,31,8666,70,2,0,0,0,,1,1,
2,Smart Trackpad,2D Task,2D Target Selection Task,2,23,265,116,98,11368,28,48,0,0,0,,0,1,1936
2,Smart Trackpad,2D Task,2D Target Selection Task,3,745,4,66,108,7128,58,99,0,0,0,,0,1,1972
2,Smart Trackpad,2D Task,2D Target Selection Task,5,929,43,72,93,6696,23,38,0,0,0,,0,1,2006
2,Smart Trackpad,2D Task,2D Target Selection Task,7,295,205,74,129,9546,50,50,0,0,0,,0,1,2028
2,Smart Tilt Pointer,2D Task,2D Target Selection Task,2,175,191,109,123,13407,29,40,0,0,0,,0,1,2040
2,Smart Tilt Pointer,2D Task,2D Target Selection Task,3,926,78,110,111,12210,4,63,42,48,40.85339643,,1,1,2052
2,Smart Tilt Pointer,2D Task,2D Target Selection Task,4,330,30,109,73,7957,58,43,0,0,0,,0,1,2070
2,Smart Rotate Pointer,2D Task,2D Target Selection Task,2,543,198,65,103,6695,41,10,29,33,25.94224354,,1,1,2080
2,Smart Rotate Pointer,2D Task,2D Target Selection Task,4,418,102,126,73,9198,61,53,3,30,62.39390996,,1,1,2108
2,Smart Trackball,2D Task,2D Target Selection Task,5,108,37,116,44,7104,68,35,0,0,0,,0,1,1925
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,2,926,150,106,124,13144,44,63,0,0,0,,0,1,2128
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,3,404,236,125,70,8750,76,54,228,469,441.9604055,,1,1,2142
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,4,58,41,86,115,9890,42,48,0,0,0,,0,1,2144
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,5,549,14,114,108,12312,96,61,258,339,321.7576728,,1,1,2160
3,Smart Tilt Pointer,2D Task,2D Target Selection Task,10,585,339,97,115,11155,31,56,0,0,0,,0,1,2176
3,Smart Trackball,2D Task,2D Target Selection Task,1,898,27,115,56,6440,76,9,0,0,0,,0,1,2208
3,Smart Trackball,2D Task,2D Target Selection Task,3,837,345,100,118,11800,18,15,0,0,0,,0,1,2240
3,Smart Trackball,2D Task,2D Target Selection Task,7,589,332,108,83,8964,86,60,0,0,0,,0,1,2294
3,Smart Trackpad,2D Task,2D Target Selection Task,2,854,228,120,129,15480,99,58,0,0,0,,0,1,2394
3,Smart Trackpad,2D Task,2D Target Selection Task,3,846,245,126,103,12978,77,39,42,48,36.138622,,1,1,2401
3,Smart Trackpad,2D Task,2D Target Selection Task,5,331,103,73,98,7154,64,62,25,13,62.62587325,,1,1,2420
3,Smart Trackpad,2D Task,2D Target Selection Task,8,849,323,78,104,8112,35,48,0,0,0,,0,1,2440
3,Smart Trackpad,2D Task,2D Target Selection Task,9,2,6,91,118,10738,84,30,0,0,0,,0,1,2479
3,Smart Trackpad,2D Task,2D Target Selection Task,10,821,198,101,101,10201,68,50,0,0,0,,0,1,2508
3,Smart Trackpad,2D Task,2D Target Selection Task,14,910,231,81,123,9963,43,96,0,0,0,,0,1,2537
3,Smart Trackpad,2D Task,2D Target Selection Task,15,544,124,92,81,7452,46,23,0,0,0,,0,1,2574
3,Smart Trackpad,2D Task,2D Target Selection Task,16,33,65,81,86,6966,61,45,0,0,0,,0,1,2622
3,Smart Trackpad,2D Task,2D Target Selection Task,17,655,72,75,107,8025,69,71,0,0,0,,0,1,2640
3,Smart Rotate Pointer,2D Task,2D Target Selection Task,2,621,210,88,117,10296,50,38,0,0,0,,0,1,2698
3,Smart Rotate Pointer,2D Task,2D Target Selection Task,3,385,115,99,115,11385,65,36,0,0,0,,0,1,2703
3,Smart Rotate Pointer,2D Task,2D Target Selection Task,4,509,43,100,86,8600,51,7,29,33,34.05877273,,1,1,2709
3,Smart Rotate Pointer,2D Task,2D Target Selection Task,6,460,312,125,113,14125,20,50,0,0,0,,0,1,2747
4,Smart Trackball,2D Task,2D Target Selection Task,3,655,329,106,92,9752,217,246,0,0,0,,0,1,2784
4,Smart Trackball,2D Task,2D Target Selection Task,4,502,156,60,114,6840,85,24,0,0,0,,0,1,2788
4,Smart Trackball,2D Task,2D Target Selection Task,7,615,153,60,124,7440,48,27,0,0,0,,0,1,2847
4,Smart Trackball,2D Task,2D Target Selection Task,8,787,93,129,99,12771,12,40,0,0,0,,0,1,2856
4,Smart Trackball,2D Task,2D Target Selection Task,9,114,28,111,93,10323,16,52,0,0,0,,0,1,2880
4,Smart Trackball,2D Task,2D Target Selection Task,10,853,80,128,59,7552,87,64,0,0,0,,1,1,2880
4,Smart Trackball,2D Task,2D Target Selection Task,12,221,96,75,104,7800,20,15,0,0,0,,0,1,2898
4,Smart Trackball,2D Task,2D Target Selection Task,14,695,117,115,102,11730,30,13,0,0,0,,0,1,2944
4,Smart Trackball,2D Task,2D Target Selection Task,19,313,285,123,129,15867,44,23,0,0,0,,0,1,3060
4,Smart Trackball,2D Task,2D Target Selection Task,20,855,314,110,104,11440,270,247,0,0,0,,0,1,3080
4,Smart Trackball,2D Task,2D Target Selection Task,22,640,319,87,84,7308,19,2,0,0,0,,0,1,3087
4,Smart Trackball,2D Task,2D Target Selection Task,24,519,338,123,69,8487,39,33,0,0,0,,0,1,3111
4,Smart Trackball,2D Task,2D Target Selection Task,25,845,199,60,110,6600,6,29,0,0,0,,0,1,3116
4,Smart Trackpad,2D Task,2D Target Selection Task,3,25,10,87,130,11310,56,65,0,0,0,,0,1,3160
4,Smart Trackpad,2D Task,2D Target Selection Task,7,772,67,87,103,8961,37,82,0,0,0,,0,1,3195
4,Smart Trackpad,2D Task,2D Target Selection Task,9,706,258,117,82,9594,20,30,0,0,0,,0,1,3212
4,Smart Trackpad,2D Task,2D Target Selection Task,12,711,227,59,118,6962,24,44,0,0,0,,0,1,3248
4,Smart Trackpad,2D Task,2D Target Selection Task,13,216,271,78,114,8892,31,61,0,0,0,,0,1,3266
4,Smart Trackpad,2D Task,2D Target Selection Task,14,927,152,109,123,13407,29,22,0,0,0,,0,1,3312
4,Smart Trackpad,2D Task,2D Target Selection Task,16,138,107,72,109,7848,33,61,0,0,0,,0,1,3325
4,Smart Trackpad,2D Task,2D Target Selection Task,17,60,16,127,69,8763,67,40,0,0,0,,0,1,3332
4,Smart Trackpad,2D Task,2D Target Selection Task,19,131,312,75,90,6750,9,5,19,89,84.59314393,,1,1,3339
4,Smart Trackpad,2D Task,2D Target Selection Task,22,420,249,103,116,11948,45,432,0,0,0,,0,1,3344
4,Smart Trackpad,2D Task,2D Target Selection Task,24,1045,24,84,120,10080,45,9,0,0,0,,0,1,3360
4,Smart Trackpad,2D Task,2D Target Selection Task,25,92,271,117,63,7371,21,14,0,0,0,,0,1,3360
4,Smart Trackpad,2D Task,2D Target Selection Task,26,917,85,125,71,8875,57,96,0,0,0,,0,1,3382
4,Smart Trackpad,2D Task,2D Target Selection Task,27,429,11,82,128,10496,53,4,27,52,54.58937626,,1,1,3384
4,Smart Trackpad,2D Task,2D Target Selection Task,28,201,211,72,107,7704,56,38,0,0,0,,0,1,3384
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,5,541,92,104,67,6968,541,410,48,24,626.1349695,,1,1,3402
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,6,723,56,108,85,9180,41,30,0,0,0,,0,1,3404
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,7,252,274,128,113,14464,155,257,54,60,221.3820228,,1,1,3420
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,9,164,245,79,112,8848,12,34,0,0,0,,0,1,3440
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,11,731,274,109,108,11772,30,39,20,38,10.04987562,,1,1,3465
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,12,486,193,108,103,11124,10,44,0,0,0,,0,1,3465
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,14,1008,48,112,59,6608,94,55,0,0,0,,0,1,3480
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,19,36,35,102,98,9996,36,33,73,8,44.65422712,,1,1,3488
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,20,76,167,86,103,8858,117,253,0,0,0,,0,1,3492
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,21,121,219,93,111,10323,44,16,0,0,0,,0,1,3510
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,22,906,276,84,106,8904,79,64,71,175,111.2879149,,1,1,3528
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,23,260,61,82,122,10004,14,41,0,0,0,,0,1,3528
4,Smart Rotate Pointer,2D Task,2D Target Selection Task,24,793,149,124,121,15004,22,62,454,406,552.2318354,,1,1,3528
4,Smart Tilt Pointer,2D Task,2D Target Selection Task,3,542,317,110,94,10340,55,28,0,0,0,,0,1,3567
4,Smart Tilt Pointer,2D Task,2D Target Selection Task,5,499,125,65,118,7670,47,61,0,0,0,,0,1,3600
4,Smart Tilt Pointer,2D Task,2D Target Selection Task,6,881,191,75,113,8475,63,61,0,0,0,,0,1,3600
4,Smart Tilt Pointer,2D Task,2D Target Selection Task,7,623,150,92,85,7820,38,62,0,0,0,,0,1,3608
4,Smart Tilt Pointer,2D Task,2D Target Selection Task,8,360,167,94,94,8836,66,53,6,10,73.81734214,,1,1,3630
5,Smart Rotate Pointer,2D Task,2D Target Selection Task,1,361,307,125,53,6625,91,35,0,0,0,,0,1,3649
5,Smart Rotate Pointer,2D Task,2D Target Selection Task,2,59,304,100,67,6700,49,16,0,0,0,,0,1,3672
5,Smart Rotate Pointer,2D Task,2D Target Selection Task,3,380,74,82,122,10004,37,37,0,0,0,,0,1,3672
5,Smart Tilt Pointer,2D Task,2D Target Selection Task,3,707,114,60,121,7260,36,57,0,0,0,,0,1,3710
5,Smart Trackpad,2D Task,2D Target Selection Task,1,26,18,129,83,10707,87,27,0,0,0,,0,1,3721
5,Smart Trackpad,2D Task,2D Target Selection Task,3,340,241,121,116,14036,38,39,0,0,0,,0,1,3740
5,Smart Trackpad,2D Task,2D Target Selection Task,5,267,149,93,91,8463,38,19,42,43,24.33105012,,1,1,3773
5,Smart Trackpad,2D Task,2D Target Selection Task,6,286,7,88,123,10824,68,57,0,0,0,,0,1,3776
5,Smart Trackpad,2D Task,2D Target Selection Task,7,566,290,93,87,8091,62,62,22,8,67.20119047,,1,1,3784
5,Smart Trackball,2D Task,2D Target Selection Task,1,459,187,128,63,8064,40,30,0,0,0,,0,1,3800
5,Smart Trackball,2D Task,2D Target Selection Task,2,900,125,99,76,7524,59,45,0,0,0,,0,1,3813
5,Smart Trackball,2D Task,2D Target Selection Task,5,604,250,59,126,7434,67,30,0,0,0,,0,1,3818
5,Smart Trackball,2D Task,2D Target Selection Task,7,11,251,110,117,12870,42,51,19,69,29.20616373,,1,1,3825
5,Smart Trackball,2D Task,2D Target Selection Task,9,398,167,128,80,10240,50,31,0,0,0,,0,1,3844
5,Smart Trackball,2D Task,2D Target Selection Task,13,401,89,114,90,10260,63,48,25,19,47.80167361,,1,1,3894
6,Smart Tilt Pointer,2D Task,2D Target Selection Task,2,8,199,118,89,10502,243,453,63,10,478.172563,,1,1,3906
6,Smart Tilt Pointer,2D Task,2D Target Selection Task,4,335,259,86,86,7396,178,323,59,36,310.6927743,,1,1,3939
6,Smart Tilt Pointer,2D Task,2D Target Selection Task,7,292,51,128,79,10112,204,298,58,43,293.838391,,1,1,3996
6,Smart Rotate Pointer,2D Task,2D Target Selection Task,3,212,285,130,60,7800,83,104,33,17,100.3444069,,1,1,4080
6,Smart Rotate Pointer,2D Task,2D Target Selection Task,9,97,245,118,116,13688,240,299,0,0,0,,1,1,4116
6,Smart Rotate Pointer,2D Task,2D Target Selection Task,10,351,285,127,117,14859,129,328,558,296,430.1918177,,1,1,4125
6,Smart Trackpad,2D Task,2D Target Selection Task,1,973,243,88,106,9328,11,88,0,0,0,,0,1,4141
6,Smart Trackpad,2D Task,2D Target Selection Task,4,885,274,130,129,16770,12,81,0,0,0,,0,1,4200
6,Smart Trackpad,2D Task,2D Target Selection Task,5,424,186,73,125,9125,32,104,0,0,0,,0,1,4214
6,Smart Trackpad,2D Task,2D Target Selection Task,6,119,308,95,101,9595,28,67,0,0,0,,0,1,4242
6,Smart Trackpad,2D Task,2D Target Selection Task,7,505,223,67,98,6566,22,58,0,0,0,,0,1,4248
6,Smart Trackpad,2D Task,2D Target Selection Task,8,656,241,130,121,15730,35,56,0,0,0,,0,1,4257
6,Smart Trackpad,2D Task,2D Target Selection Task,9,264,134,60,127,7620,16,62,23,3,59.41380311,,1,1,4257
